"filename", "language", "PHP", "HTML", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"/opt/lampp/htdocs/MitraPark/server/api/strict-mode/update_strictMode.php", "PHP", 27, 0, 0, 0, 0, 0, 11, 38
"/opt/lampp/htdocs/MitraPark/server/api/strict-mode/update_warning.php", "PHP", 16, 0, 0, 0, 0, 0, 9, 25
"/opt/lampp/htdocs/MitraPark/server/api/updatePost.php", "PHP", 51, 0, 0, 0, 0, 0, 15, 66
"/opt/lampp/htdocs/MitraPark/server/api/updateProfile.php", "PHP", 25, 0, 0, 0, 0, 0, 6, 31
"/opt/lampp/htdocs/MitraPark/server/api/update_activity_dateTime.php", "PHP", 10, 0, 0, 0, 0, 0, 4, 14
"/opt/lampp/htdocs/MitraPark/server/api/uploadPost.php", "PHP", 43, 0, 0, 0, 0, 0, 14, 57
"/opt/lampp/htdocs/MitraPark/server/db_connection.php", "PHP", 6, 0, 0, 0, 0, 2, 4, 12
"/opt/lampp/htdocs/MitraPark/server/deletePost.php", "PHP", 25, 0, 0, 0, 0, 0, 5, 30
"/opt/lampp/htdocs/MitraPark/server/functions.php", "PHP", 113, 0, 0, 0, 0, 16, 32, 161
"/opt/lampp/htdocs/MitraPark/server/getAllMitras.php", "PHP", 2, 0, 0, 0, 0, 0, 3, 5
"/opt/lampp/htdocs/MitraPark/server/validation.php", "PHP", 99, 0, 0, 0, 0, 0, 15, 114
"/opt/lampp/htdocs/MitraPark/setting.php", "PHP", 65, 0, 0, 0, 0, 0, 10, 75
"/opt/lampp/htdocs/MitraPark/signup.php", "PHP", 216, 0, 0, 0, 0, 2, 27, 245
"/opt/lampp/htdocs/MitraPark/strict-mode-timeout.php", "PHP", 66, 0, 0, 0, 0, 0, 11, 77
"/opt/lampp/htdocs/MitraPark/strict-mode.php", "PHP", 172, 0, 0, 0, 0, 3, 33, 208
"/opt/lampp/htdocs/MitraPark/style.css", "CSS", 0, 0, 246, 0, 0, 1, 54, 301
"/opt/lampp/htdocs/MitraPark/timeOutWarn.php", "PHP", 52, 0, 0, 0, 0, 0, 11, 63
"/opt/lampp/htdocs/MitraPark/uploadProfile.php", "PHP", 31, 0, 0, 0, 0, 0, 10, 41
"/opt/lampp/htdocs/MitraPark/user.php", "PHP", 236, 0, 0, 0, 0, 6, 52, 294
"/opt/lampp/htdocs/MitraPark/user_uploads/index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 5013, 112, 1197, 97, 199, 137, 1214, 7969
